method_id,display_name,stage,split_id,miou,latency_ms_median,parameters,gflops,status,notes,fps,passes_30_fps,pareto_frontier
fusion_baseline,Fusion PIDNet-S,100e formal,flame2_val_label_fix_seed200,0.8067280342508664,27.589911999999998,7623939.0,2.927702,measured_checkpoint_paired,Formal Route A Fusion best checkpoint,36.24513191633232,True,False
abl,Fusion + ABL,100e formal,flame2_val_label_fix_seed200,0.808422709955544,27.589911999999998,7623939.0,2.927702,measured_shared_inference_architecture,Training-only loss; uses paired Fusion deployment coordinate,36.24513191633232,True,True
samf,Fusion + SAMF,100e formal,flame2_val_label_fix_seed200,0.8086130496925034,28.929772000000007,7705271.0,3.1545,failed_internal_threshold_positive_ablation,Formal best checkpoint; passes 30 FPS but not accuracy threshold,34.566466683525874,True,True
tgm,Fusion + TGM,30e screen,flame2_val_label_fix_seed200,0.7830625003746203,22.329565749999993,7635252.0,3.0077,failed_screen_and_positive_trigger,Checkpoint-paired latency; both mIoU and Fire gains are negative,44.78367430857899,True,False
abl_samf,Fusion + ABL + SAMF,30e combination screen,flame2_val_label_fix_seed200,0.7907295602217858,22.022326000000007,7705271.0,3.1545,failed_combination_screen_near_miss,Window mIoU gain +0.004589 and Fire gain +0.002935; checkpoint-paired 45.41 FPS,45.40846411954848,True,True
