mode,method,best_epoch,background_iou,smoke_iou,fire_iou,miou,parameters,parameters_millions,gflops,latency_ms_median,fps,passes_30_fps
rgb,RGB-only PIDNet-S,83,0.8679435982304643,0.7558384873867732,0.2172295511620957,0.6136705455931111,7623651,7.623651,2.946576384,20.300622749999988,49.25957259119061,True
ir,IR-only PIDNet-S,82,0.8143792079332386,0.7126985840646924,0.6738194842215294,0.7336324254064869,7623075,7.623075,2.927702016,20.573345250000052,48.60658234469659,True
fusion,RGB+IR Fusion PIDNet-S,86,0.9088757916268864,0.8419978925293716,0.6693104185963411,0.8067280342508664,7623939,7.623939,2.956013568,20.178296999999983,49.558196115361014,True
